1,Italian Pasta
2,Chinese Dim Sum
3,Indian Curry
4,Japanese Sushi
5,Mexican Taco
6,French Pastry
7,Thai Curry
8,Spanish Paella
9,Lebanese Mezze
10,American Burger
11,Vietnamese Pho
12,Moroccan Tagine
13,Greek Gyro
14,Turkish Kebab
15,Russian Borscht
16,Brazilian Churrasco
17,Korean BBQ
18,Ethiopian Injera
19,Portuguese Bacalhau
20,Malaysian Nasi Lemak
21,British Fish and Chips
22,German Sausage
23,Swedish Meatballs
24,Polish Pierogi
25,Dutch Stroopwafel
26,Egyptian Koshari
27,South African Bobotie
28,Cuban Sandwich
29,Filipino Adobo
30,Peruvian Ceviche
31,Indonesian Satay
32,Australian Meat Pie
33,Canadian Poutine
34,Argentinian Empanada
35,Nigerian Jollof Rice
36,Israeli Falafel
37,Belgian Waffle
38,Austrian Schnitzel
39,Jamaican Jerk Chicken
40,Pakistani Biryani
41,Singaporean Laksa
42,New Zealand Lamb Chops
43,Finnish Karelian Pasty
44,Colombian Arepa
45,Hungarian Goulash
46,Icelandic Skyr
47,Sri Lankan Hoppers
48,Bulgarian Banitsa
49,Romanian Sarmale
50,Salvadoran Pupusa
51,Czech Goulash
52,Norwegian Lutefisk
53,Ukrainian Borscht
54,Mongolian Buuz
55,Kenyan Ugali
56,Tanzanian Zanzibar Pizza
57,Omani Shuwa
58,Bangladeshi Hilsa Fish Curry
59,Bhutanese Ema Datshi
60,Laotian Larb
61,Afghan Mantu
62,Algerian Couscous
63,Andorran Trinxat
64,Armenian Dolma
65,Azerbaijani Plov
66,Bahamian Conch Fritters
67,Bahraini Machboos
68,Barbadian Cou-Cou
69,Belarusian Draniki
70,Belizean Rice and Beans
71,Beninese Yovo Doko
72,Bhutanese Ema Datshi
73,Bolivian Salteñas
74,Bosnian Ćevapi
75,Botswanan Seswaa
76,Bruneian Ambuyat
77,Burkinabe Riz Gras
78,Burmese Mohinga
79,Cambodian Amok
80,Cameroonian Ndolé
81,Cape Verdean Cachupa
82,Central African Cassava Fufu
83,Chadian Boule
84,Chilean Empanada
85,Comorian Langouste a la Vanille
86,Congolese Moambe
87,Costa Rican Gallo Pinto
88,Croatian Peka
89,Cypriot Halloumi
90,Djiboutian Fah-fah
91,Dominican Sancocho
92,East Timorese Ikan Pepes
93,Ecuadorian Ceviche
94,Eritrean Zigni
95,Estonian Verivorst
96,Fijian Kokoda
97,Gabonese Poulet Nyembwe
98,Georgian Khachapuri
99,Ghanaian Fufu
100,Grenadian Oil Down
101,Dessert
102,Main Course
