1,Vegetarian
2,Gluten-Free
3,Vegan
4,Pescatarian
5,Low-Carb
6,Keto
7,Paleo
8,Dairy-Free
9,Nut-Free
10,Lactose-Free
11,Mediterranean
12,Whole30
13,Flexitarian
14,Ovo-Vegetarian
15,Pegan
16,Raw
17,Low-Fat
18,High-Protein
19,Low-Sodium
20,Ketotarian
21,Carnivore
22,Fruitarian
23,Balanced
24,Other
25,Vegan
26,Gluten-Free
27,Vegetarian
28,Pescatarian
29,Lactose-Free
30,Pescatarian
31,Keto
32,Pescatarian
33,Vegan
34,Flexitarian
35,Low-Carb
36,Vegetarian
37,Gluten-Free
38,Paleo
39,Ovo-Vegetarian
40,Lactose-Free
41,Mediterranean
42,Ketotarian
43,High-Protein
44,Low-Sodium
45,Carnivore
46,Raw
47,Balanced
48,Vegetarian
49,Gluten-Free
50,Vegan
51,Pescatarian
52,Low-Carb
53,Keto
54,Paleo
55,Dairy-Free
56,Nut-Free
57,Lactose-Free
58,Mediterranean
59,Whole30
60,Flexitarian
61,Lactose-Free
62,Keto
63,Low-Carb
64,Mediterranean
65,Flexitarian
66,Raw
67,Balanced
68,Vegetarian
69,Gluten-Free
70,Vegan
71,Vegetarian
72,Pescatarian
73,Low-Carb
74,Keto
75,Flexitarian
76,Raw
77,Balanced
78,Vegetarian
79,Gluten-Free
80,Vegan
81,Paleo
82,Dairy-Free
83,Nut-Free
84,Lactose-Free
85,Mediterranean
86,Whole30
87,Flexitarian
88,Ovo-Vegetarian
89,Pegan
90,Raw
91,Low-Fat
92,High-Protein
93,Low-Sodium
94,Ketotarian
95,Carnivore
96,Fruitarian
97,Balanced
98,Other
99,Vegan
100,Gluten-Free
